contractId,stockSymbol,securityName,contractQuantity,contractRate,contractAmount,tradeTime,businessDate,capturedAt
2026061605012219,RNLI,Reliable Nepal Life Insurance Limited,12,460.3,5523.6,2026-06-16T14:50:59.655923,2026-06-16,2026-06-16T19:07:30.698517
2026061601017509,BJHL,Bhujung Hydropower Limited,10,811.2,8112.0,2026-06-16T14:50:59.638496,2026-06-16,2026-06-16T19:07:30.698527
2026061604007345,CHL,Chhyangdi Hydropower Ltd.,50,282.1,14105.0,2026-06-16T14:50:59.390569,2026-06-16,2026-06-16T19:07:30.698530
2026061605012218,SONA,Sonapur Minerals And Oil Limited,10,428.4,4284.0,2026-06-16T14:50:58.735827,2026-06-16,2026-06-16T19:07:30.698531
2026061603005392,MNBBL,Muktinath Bikas Bank Ltd.,192,371.2,71270.4,2026-06-16T14:50:58.258114,2026-06-16,2026-06-16T19:07:30.698534
2026061603005391,MNBBL,Muktinath Bikas Bank Ltd.,140,371.3,51982.0,2026-06-16T14:50:58.257924,2026-06-16,2026-06-16T19:07:30.698535
2026061603005390,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,50,878.9,43945.0,2026-06-16T14:50:57.96455,2026-06-16,2026-06-16T19:07:30.698537
2026061603005389,NLICL,National Life Insurance Co. Ltd.,39,577.6,22526.4,2026-06-16T14:50:57.604005,2026-06-16,2026-06-16T19:07:30.698539
2026061603005388,NLICL,National Life Insurance Co. Ltd.,118,577.6,68156.8,2026-06-16T14:50:57.603952,2026-06-16,2026-06-16T19:07:30.698540
2026061603005387,NLICL,National Life Insurance Co. Ltd.,10,577.7,5777.0,2026-06-16T14:50:57.60386,2026-06-16,2026-06-16T19:07:30.698542
2026061605012217,DOLTI,Dolti Power Company Limited,20,381.9,7638.0,2026-06-16T14:50:57.589247,2026-06-16,2026-06-16T19:07:30.698544
2026061604007344,BARUN,Barun Hydropower Co. Ltd.,30,336.6,10098.0,2026-06-16T14:50:57.47574,2026-06-16,2026-06-16T19:07:30.698545
2026061603005386,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,14,834.3,11680.2,2026-06-16T14:50:57.272051,2026-06-16,2026-06-16T19:07:30.698547
2026061605012216,MHCL,Molung Hydropower Company Limited,10,342.5,3425.0,2026-06-16T14:50:57.103173,2026-06-16,2026-06-16T19:07:30.698549
2026061604007343,SPDL,Synergy Power Development Ltd.,10,390.0,3900.0,2026-06-16T14:50:56.898398,2026-06-16,2026-06-16T19:07:30.698551
2026061601017508,SOHL,Solu Hydropower Limited,20,634.0,12680.0,2026-06-16T14:50:56.852503,2026-06-16,2026-06-16T19:07:30.698552
2026061605012215,NRIC,Nepal Reinsurance Company Limited,49,1000.0,49000.0,2026-06-16T14:50:56.715791,2026-06-16,2026-06-16T19:07:30.698553
2026061601017507,HFIN,Hotel Forest Inn Limited,10,827.3,8273.0,2026-06-16T14:50:56.303374,2026-06-16,2026-06-16T19:07:30.698555
2026061603005385,NLIC,Nepal Life Insurance Co. Ltd.,4,757.5,3030.0,2026-06-16T14:50:56.301089,2026-06-16,2026-06-16T19:07:30.698557
2026061603005384,CFCL,Central Finance Co. Ltd.,90,611.1,54999.0,2026-06-16T14:50:56.251828,2026-06-16,2026-06-16T19:07:30.698559
2026061603005383,CFCL,Central Finance Co. Ltd.,410,611.2,250592.0,2026-06-16T14:50:56.251761,2026-06-16,2026-06-16T19:07:30.698560
2026061603005382,BFC,Best Finance Company Ltd.,10,489.9,4899.0,2026-06-16T14:50:56.116471,2026-06-16,2026-06-16T19:07:30.698562
